Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - USD
11-Aug-2017,205.980000,-1.670000,-0.804238%,207.900000,205.180000,208.399700,"7,675,414","1,584,776,283.046000"
04-Aug-2017,207.650000,+7.930000,+3.970559%,200.000000,199.810100,208.610000,"9,455,283","1,932,930,036.826700"
28-Jul-2017,199.720000,-11.440000,-5.417693%,211.200000,197.172600,211.659000,"15,343,488","3,084,102,881.857100"
21-Jul-2017,211.160000,-0.610000,-0.288048%,212.200000,209.480000,213.410000,"7,292,795","1,541,631,574.923300"
14-Jul-2017,211.770000,+2.180000,+1.040126%,209.600000,208.000000,212.780000,"6,225,361","1,312,309,353.318500"
07-Jul-2017,209.590000,+1.400000,+0.672463%,209.140000,207.890000,210.340000,"4,826,519","1,010,470,533.613100"
30-Jun-2017,208.190000,-4.710000,-2.212306%,212.790000,207.080000,213.470000,"8,715,078","1,830,071,752.999100"
23-Jun-2017,212.900000,-0.340000,-0.159445%,214.000000,211.710000,214.570000,"7,997,071","1,703,104,261.691000"
16-Jun-2017,213.240000,+6.310000,+3.049340%,207.060000,205.500000,213.460000,"10,676,912","2,244,408,390.393600"
09-Jun-2017,206.930000,+0.230000,+0.111272%,206.770000,204.090000,207.330000,"8,942,395","1,840,436,357.743800"
02-Jun-2017,206.700000,+6.030000,+3.004933%,200.310000,199.960000,207.390000,"9,452,522","1,929,925,918.870800"
26-May-2017,200.670000,+4.870000,+2.487232%,196.350000,196.350000,200.690000,"7,560,331","1,501,959,444.941000"
19-May-2017,195.800000,-0.770000,-0.391718%,196.670000,193.540000,197.940000,"8,363,560","1,638,698,904.583100"
12-May-2017,196.570000,-2.830000,-1.419258%,198.840000,195.260000,199.360000,"8,600,275","1,696,782,997.702900"
05-May-2017,199.400000,+3.570000,+1.823010%,195.500000,194.471000,199.900000,"10,315,296","2,034,451,344.194000"
28-Apr-2017,195.830000,+4.330000,+2.261097%,193.000000,192.360000,197.120000,"13,770,981","2,687,784,302.625300"
21-Apr-2017,191.500000,+2.850000,+1.510734%,189.310000,189.290000,192.110000,"8,393,201","1,600,555,301.445000"
14-Apr-2017,188.650000,-1.340000,-0.705300%,190.160000,188.620000,190.515600,"5,832,788","1,106,278,161.496400"
07-Apr-2017,189.990000,-1.340000,-0.700361%,191.870000,189.500000,192.420000,"6,997,872","1,333,080,573.406000"
31-Mar-2017,191.330000,-0.180000,-0.093990%,190.700000,189.160000,192.400000,"9,572,447","1,827,532,145.434600"
24-Mar-2017,191.510000,-0.850000,-0.441880%,192.520000,190.460000,193.500000,"8,525,303","1,639,077,135.625900"
17-Mar-2017,192.360000,+1.150000,+0.601433%,191.770000,189.110000,192.360000,"12,078,571","2,307,072,712.426300"
